Text,Emotion
"I'm so happy today, everything is going great!",happy
I feel so sad and lonely.,sad
This is the best day of my life!,happy
I can't believe how angry I am right now.,angry
I am so scared about the exam tomorrow.,fearful
I'm feeling quite surprised by this sudden news.,surprised
I love spending time with my family.,happy
This traffic is driving me crazy!,angry
"I feel a little down today, but it's okay.",sad
What an amazing experience this has been!,happy
I'm so frustrated with the delays.,angry
"It's a peaceful day, just perfect for reading.",happy
I feel so anxious about my presentation.,fearful
"Wow, I did not expect this at all!",surprised
I hate how unfair this situation is.,angry
